state,county,House Price 2012,House Price 2013,House Price 2014,House Price 2015,House Price 2016,House Price 2017,House Price 2018,House Price 2019,House Price 2020,House Price 2021,House Price 2022,House Price 2023,House Price 2024,House Price 2025,Gender_2012,Gender_2013,Gender_2014,Gender_2015,Gender_2016,Gender_2017,Gender_2018,Gender_2019,Gender_2020,Gender_2021,Gender_2022,Gender_2023,Gender_2024,Gender_2025,Gender,2012_Ratio,2013_Ratio,2014_Ratio,2015_Ratio,2016_Ratio,2017_Ratio,2018_Ratio,2019_Ratio,2020_Ratio,2021_Ratio,2022_Ratio,2023_Ratio,2024_Ratio,2025_Ratio,Gender_2012_diff,Gender_2013_diff,Gender_2014_diff,Gender_2015_diff,Gender_2016_diff,Gender_2017_diff,Gender_2018_diff,Gender_2019_diff,Gender_2020_diff,Gender_2021_diff,Gender_2022_diff,Gender_2023_diff,Gender_2024_diff,Gender_2025_diff
AR,Franklin County,72000,72000,29880,51627,79940,176750,160167,241750,210317,202500,295443.1868,295443.1868,295443.1868,295443.1868,22415,22494,25823,25270,26524,26155,26839,27851,32367,33215,34063,34912,35760,36609,total,3.212134731,3.200853561,1.157108004,2.043015433,3.013874227,6.757790097,5.967696263,8.680119206,6.497883647,6.096643083,8.673434131,8.462511079,8.261834083,8.070233735,0.375995489,0.349081081,0.375178228,0.361056842,0.324834221,0.293263131,0.28697422,0.22810336,0.19554862,0.179244775,0.1634595,0.148168441,0.133323058,0.118953653
AR,Franklin County,72000,72000,29880,51627,79940,176750,160167,241750,210317,202500,295443.1868,295443.1868,295443.1868,295443.1868,28378,27750,32262,32247,32121,31528,32428,31192,36528,37128,37728,38328,38928,39528,male,2.537176686,2.594594595,0.926167008,1.600986138,2.488714548,5.606127886,4.939157518,7.750384714,5.757692729,5.454104719,7.830873272,7.708286026,7.589477672,7.474276128,0.375995489,0.349081081,0.375178228,0.361056842,0.324834221,0.293263131,0.28697422,0.22810336,0.19554862,0.179244775,0.1634595,0.148168441,0.133323058,0.118953653
AR,Franklin County,72000,72000,29880,51627,79940,176750,160167,241750,210317,202500,295443.1868,295443.1868,295443.1868,295443.1868,17708,18063,20158,20604,21687,22282,23122,24077,29385,30473,31561,32649,33738,34826,female,4.065958889,3.986048829,1.48228991,2.505678509,3.686079218,7.932411812,6.927039183,10.04070275,7.157291135,6.645226922,9.361021096,9.049073074,8.756985796,8.483408568,0.375995489,0.349081081,0.375178228,0.361056842,0.324834221,0.293263131,0.28697422,0.22810336,0.19554862,0.179244775,0.1634595,0.148168441,0.133323058,0.118953653
AR,Washington County,105682,93740,139978,175105,177520,182420,178695,112687,239528,283135,265337,308328.1066,302784.1515,302451.8857,25045,25261,25910,26261,26860,27993,29801,30227,24387,24800,25214,25628,26042,26456,total,4.219684568,3.710858636,5.402470089,6.667872511,6.60908414,6.516629157,5.996275293,3.728024614,9.82195432,11.41673387,10.5233997,12.03090786,11.6267626,11.43226057,0.255648874,0.234520841,0.263152535,0.229758785,0.228815228,0.215783962,0.209187758,0.182080745,0.380276881,0.378100183,0.376010822,0.373938264,0.371976453,0.370045064
AR,Washington County,105682,93740,139978,175105,177520,182420,178695,112687,239528,283135,265337,308328.1066,302784.1515,302451.8857,28457,28070,29462,29766,30470,31513,32478,32200,32216,32740,33265,33789,34314,34839,male,3.713743543,3.339508372,4.751137058,5.882718538,5.826058418,5.788722115,5.502032145,3.499596273,7.435063323,8.647984117,7.976461747,9.125103039,8.823924681,8.681416967,0.255648874,0.234520841,0.263152535,0.229758785,0.228815228,0.215783962,0.209187758,0.182080745,0.380276881,0.378100183,0.376010822,0.373938264,0.371976453,0.370045064
AR,Washington County,105682,93740,139978,175105,177520,182420,178695,112687,239528,283135,265337,308328.1066,302784.1515,302451.8857,21182,21487,21709,22927,23498,24713,25684,26337,19965,20361,20757,21154,21550,21947,female,4.989236144,4.362637874,6.447924824,7.637501636,7.554685505,7.38154008,6.957444323,4.278657402,11.99739544,13.90575119,12.78301296,14.57540449,14.05030865,13.7810127,0.255648874,0.234520841,0.263152535,0.229758785,0.228815228,0.215783962,0.209187758,0.182080745,0.380276881,0.378100183,0.376010822,0.373938264,0.371976453,0.370045064
NC,Vance County,85000,85000,85000,85000,85000,102359,130133,165490,194200,191821,266990,248530.4679,277278.349,300227.9974,24974,25515,26110,23907,23851,25119,24509,25813,40007,40752,41497,42243,42988,43733,total,3.403539681,3.331373702,3.255457679,3.555444012,3.563791875,4.074963175,5.309600555,6.411110681,4.854150524,4.707032784,6.433959081,5.883352695,6.450133735,6.865021778,0.178811845,0.102400656,0.060144848,0.021860638,0.000838188,0.069442311,0.16844697,0.10313786,0.344511363,0.343661681,0.342853665,0.342052234,0.341296325,0.340532396
NC,Vance County,85000,85000,85000,85000,85000,102359,130133,165490,194200,191821,266990,248530.4679,277278.349,300227.9974,27185,26826,27201,24153,23861,26036,26400,27216,47653,48475,49298,50121,50944,51766,male,3.126724296,3.168567807,3.124885115,3.519231565,3.562298311,3.931441082,4.929280303,6.080614345,4.075294315,3.957111913,5.415838371,4.958609523,5.442806788,5.799714048,0.178811845,0.102400656,0.060144848,0.021860638,0.000838188,0.069442311,0.16844697,0.10313786,0.344511363,0.343661681,0.342853665,0.342052234,0.341296325,0.340532396
NC,Vance County,85000,85000,85000,85000,85000,102359,130133,165490,194200,191821,266990,248530.4679,277278.349,300227.9974,22324,24079,25565,23625,23841,24228,21953,24409,31236,31816,32396,32977,33557,34138,female,3.807561369,3.530046929,3.324858205,3.597883598,3.565286691,4.224822519,5.927800301,6.779876275,6.217185299,6.029073422,8.241449562,7.536478997,8.262906368,8.794539733,0.178811845,0.102400656,0.060144848,0.021860638,0.000838188,0.069442311,0.16844697,0.10313786,0.344511363,0.343661681,0.342853665,0.342052234,0.341296325,0.340532396
PA,Clinton County,95042,142683,70500,92060,101260,111000,166944,74833,127444,99130,167509,133731.992,134982.0522,134972.1703,22975,23034,23389,24203,24459,25437,27116,29459,30643,31483,32324,33164,34005,34845,total,4.136757345,6.19445168,3.014237462,3.803660703,4.13998937,4.363722137,6.156660274,2.540242371,4.158992266,3.148683416,5.182186611,4.032444578,3.969476612,3.873501802,0.468938137,0.475325166,0.453155294,0.420023808,0.373571247,0.371902874,0.356881089,0.347960779,0.325652423,0.312380901,0.299495336,0.287004033,0.274889168,0.263133978
