GEO_ID,County,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0500000US01001,Autauga County, Alabama,23613,23864,25425,25257,23318,22437,24285,24832,26243,27829,27924
0500000US01003,Baldwin County, Alabama,20817,21855,21728,21597,22094,22355,22855,24067,25308,26057,27186
0500000US01005,Barbour County, Alabama,16913,17246,17920,18329,18982,19448,20634,19578,20396,19738,23082
0500000US01007,Bibb County, Alabama,18953,17826,17269,16334,17622,18562,19574,22047,22416,21794,22197
0500000US01009,Blount County, Alabama,21600,21790,22283,23295,23880,23645,26115,26758,27579,29576,28063
0500000US01011,Bullock County, Alabama,20132,20883,18972,18344,19956,17768,17558,17454,20712,19917,20094
0500000US01013,Butler County, Alabama,18701,19857,19769,19690,19828,21468,21531,21731,21562,21307,21015
0500000US01015,Calhoun County, Alabama,17726,18163,18310,18413,19098,19353,20005,21567,22162,23228,24720
0500000US01017,Chambers County, Alabama,20525,20384,21361,23250,22431,22726,22519,23710,24471,25154,25222
0500000US01019,Cherokee County, Alabama,19391,20469,21705,21538,21531,22185,23728,24557,25948,25791,28100
0500000US01021,Chilton County, Alabama,20753,21430,22486,23328,23521,22037,22032,23053,22872,23420,24419
0500000US01023,Choctaw County, Alabama,18297,18447,19081,19080,18804,18655,18956,17248,17172,20371,22010
0500000US01025,Clarke County, Alabama,19483,20779,19629,19972,20990,19852,20465,20015,20123,22456,23112
0500000US01027,Clay County, Alabama,22785,23042,20346,21012,20452,19096,18831,20192,20622,21074,21057
0500000US01029,Cleburne County, Alabama,16788,20786,20345,22014,22424,22234,20974,21671,21831,25527,30307
0500000US01031,Coffee County, Alabama,20002,21151,21775,20558,20890,20546,20517,21807,23919,25234,22361
0500000US01033,Colbert County, Alabama,19725,20594,21882,20895,21716,22253,22497,23204,23503,24596,24610
0500000US01035,Conecuh County, Alabama,17321,19114,18149,17906,18125,18450,19727,21143,21961,22934,22379
0500000US01037,Coosa County, Alabama,19002,19487,19914,18971,18990,18899,21083,21053,23125,23523,25159
0500000US01039,Covington County, Alabama,17124,17130,17368,18676,18439,18721,20303,21714,22917,24412,26269
0500000US01041,Crenshaw County, Alabama,16120,17176,20469,19821,21480,21971,22232,21515,21957,22069,22420
0500000US01043,Cullman County, Alabama,19270,20195,20489,22278,22864,22854,22463,23258,23087,22937,22419
0500000US01045,Dale County, Alabama,19169,21624,21667,21150,21220,20845,20570,20973,21196,20344,20631
0500000US01047,Dallas County, Alabama,17289,17767,17145,17523,17363,18174,19320,20137,21657,22956,23567
0500000US01049,DeKalb County, Alabama,18932,19264,19413,19830,20276,20757,20209,20804,21053,21705,21455
0500000US01051,Elmore County, Alabama,23202,24149,24761,23817,24296,25378,27037,28238,30255,30480,31152
0500000US01053,Escambia County, Alabama,18756,20319,20123,20049,20256,20392,19509,21521,23583,24321,22400
0500000US01055,Etowah County, Alabama,20171,20214,20469,19941,20187,20470,20899,21140,21487,22078,23751
0500000US01057,Fayette County, Alabama,18879,18735,17717,16917,18491,18395,17317,20637,20404,20244,20214
0500000US01059,Franklin County, Alabama,18348,19648,19807,20180,19711,20212,19402,20758,21571,21830,21222
0500000US01061,Geneva County, Alabama,17245,19214,19541,21371,21915,21567,21324,21977,22477,25588,25273
0500000US01063,Greene County, Alabama,18634,17650,19898,18899,18169,18571,18288,19966,23942,25207,20902
0500000US01065,Hale County, Alabama,17525,19898,20084,20605,21148,20142,19750,19617,20045,21941,19954
0500000US01067,Henry County, Alabama,19281,20248,22154,21910,22124,21563,20245,21004,22013,22467,25929
0500000US01069,Houston County, Alabama,20190,20643,20659,21162,21651,21605,21603,22130,22805,23494,24411
0500000US01071,Jackson County, Alabama,19798,20011,20554,20879,20776,20818,21213,21632,22034,23762,23208
0500000US01073,Jefferson County, Alabama,24662,25384,25425,25913,25915,25962,26295,27108,27952,29860,30385
0500000US01075,Lamar County, Alabama,16000,16557,18146,18867,17887,16131,16418,17885,21054,22093,26763
0500000US01077,Lauderdale County, Alabama,17936,18213,18314,19389,18690,18664,20137,21032,22035,22517,24477
0500000US01079,Lawrence County, Alabama,18170,18300,19106,18175,19297,19889,20471,21272,24603,24361,25277
0500000US01081,Lee County, Alabama,17198,18328,18335,18752,19154,20386,20175,20945,21300,21920,24176
0500000US01083,Limestone County, Alabama,21635,21632,22289,22117,22755,22520,23659,24513,25001,25664,27023
0500000US01085,Lowndes County, Alabama,17512,17984,19006,18903,19550,20870,21609,22779,23643,25180,24540
0500000US01087,Macon County, Alabama,15361,16109,16456,17495,16913,17148,19045,18009,17308,18846,20307
0500000US01089,Madison County, Alabama,23235,24070,25152,25382,25665,25594,26259,26879,27705,28480,29273
0500000US01091,Marengo County, Alabama,17344,20134,19958,19575,19578,18921,19034,20370,22544,22096,23812
0500000US01093,Marion County, Alabama,18178,18226,18295,18840,19614,20188,20013,20678,21223,22406,24167
0500000US01095,Marshall County, Alabama,18808,20217,20414,20752,21187,20875,20651,21144,21683,22273,24425
0500000US01097,Mobile County, Alabama,20304,20796,21282,21352,21586,22022,22395,23546,24932,25469,26187
0500000US01099,Monroe County, Alabama,17163,17646,19320,19862,20346,20231,22117,24403,25735,25173,25554
0500000US01101,Montgomery County, Alabama,22728,23221,23318,23482,24088,23704,24158,24710,25396,26185,27637
0500000US01103,Morgan County, Alabama,20034,20524,20613,20752,20865,21124,20856,21502,23294,25078,25202
0500000US01105,Perry County, Alabama,13903,15157,16720,17699,18993,21458,22243,22279,23393,18833,13472
0500000US01107,Pickens County, Alabama,17412,17533,18887,19143,19587,16957,17393,17315,18605,18891,21398
0500000US01109,Pike County, Alabama,14829,16399,16878,17685,17121,18038,18493,19669,17443,18504,22247
0500000US01111,Randolph County, Alabama,19546,19989,20194,21965,22218,22417,24552,24435,25873,25911,25193
0500000US01113,Russell County, Alabama,18006,19132,20801,22029,21928,22828,22280,23049,22364,22205,22934
0500000US01115,St. Clair County, Alabama,22758,22508,23713,24792,24270,24747,25810,26096,26351,29943,30350
0500000US01117,Shelby County, Alabama,28585,28962,28931,28914,29185,29195,29606,30690,31495,32004,33919
0500000US01119,Sumter County, Alabama,14629,14075,14344,14386,14310,13745,15340,15970,14886,16740,20168
0500000US01121,Talladega County, Alabama,18118,18076,17635,18522,19435,20851,22323,23621,24495,25542,24308
0500000US01123,Tallapoosa County, Alabama,20964,22288,22970,24090,24876,24369,25232,25255,24884,24813,22443
0500000US01125,Tuscaloosa County, Alabama,20099,20090,20132,20321,20595,20792,21107,21805,22567,23506,24169
0500000US01127,Walker County, Alabama,16884,18422,18573,19106,18831,18774,19230,20269,21533,23812,25902
0500000US01129,Washington County, Alabama,20344,20190,20266,20282,20515,19236,19242,19885,16718,17004,23345
0500000US01131,Wilcox County, Alabama,15947,17688,18769,20265,19029,19721,19771,20179,20317,19372,19046
0500000US01133,Winston County, Alabama,16511,15679,16932,18010,17866,17686,19149,20414,20845,21046,22876
0500000US02013,Aleutians East Borough, Alaska,20400,19510,19672,20941,20531,21048,21362,22344,23705,24727,27321
0500000US02016,Aleutians West Census Area, Alaska,25362,24115,26807,26775,26458,25958,27153,27229,28839,29945,33008
0500000US02020,Anchorage Municipality, Alaska,29990,31007,31681,32400,33466,33530,34384,35802,36323,37408,37345
0500000US02050,Bethel Census Area, Alaska,19935,19990,20096,20099,20399,20621,20553,23169,23329,22658,27008
0500000US02060,Bristol Bay Borough, Alaska,36176,35417,35870,38393,37386,33125,37361,39091,39500,37969,41354
0500000US02068,Denali Borough, Alaska,21328,19844,23000,20625,21716,21082,24688,18676,18194,15250,29932
0500000US02070,Dillingham Census Area, Alaska,28929,28690,27147,25949,25127,24167,25208,26976,25857,25651,29464
0500000US02090,Fairbanks North Star Borough, Alaska,26484,28157,28844,27430,30752,30490,30885,30720,31087,31500,18114
0500000US02100,Haines Borough, Alaska,20321,25156,23690,24423,24885,25614,24674,27104,35509,35079,26163
0500000US02105,Hoonah-Angoon Census Area, Alaska,17188,21328,16576,17181,18203,17992,19750,21719,22379,22042,32282
0500000US02110,Juneau City and Borough, Alaska,31028,32645,32735,34905,36672,36974,37433,40893,40689,40922,25778
0500000US02122,Kenai Peninsula Borough, Alaska,21138,22105,23758,24094,25574,25880,27307,27644,28240,28237,22794
0500000US02130,Ketchikan Gateway Borough, Alaska,25943,28224,29433,31417,30955,30520,29657,30013,30050,31449,42178
0500000US02150,Kodiak Island Borough, Alaska,23061,22398,22716,20808,22203,24904,25983,25087,26445,26524,30509
0500000US02164,Lake and Peninsula Borough, Alaska,15600,16382,16146,16250,16116,13635,14263,13946,14659,15336,32290
0500000US02170,Matanuska-Susitna Borough, Alaska,23567,24188,25517,25938,27229,16395,16037,17064,19500,20438,25276
0500000US02180,Nome Census Area, Alaska,25596,25599,25874,25033,24401,27094,27170,27426,29044,29737,18148
0500000US02185,North Slope Borough, Alaska,19873,28338,27897,31556,31856,24453,24443,25673,27405,27033,16731
