GEO_ID,County,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0500000US01001,Autauga County, Alabama,29949,30861,31207,30868,30210,30760,31259,31891,34497,35769,35545
0500000US01003,Baldwin County, Alabama,26775,27835,27216,26948,27207,27557,28534,30157,31394,32257,34562
0500000US01005,Barbour County, Alabama,20335,20316,21521,21996,21865,22369,23174,22817,24612,25323,27151
0500000US01007,Bibb County, Alabama,26902,25620,23878,23529,25718,25968,26704,29984,28231,25860,28750
0500000US01009,Blount County, Alabama,28186,28045,29101,30090,30606,30838,31793,32407,33435,35500,34629
0500000US01011,Bullock County, Alabama,21267,22349,23059,21709,22655,22074,22364,24683,26803,26938,26991
0500000US01013,Butler County, Alabama,22073,23363,24515,24441,24509,25570,25929,25230,25679,25327,26044
0500000US01015,Calhoun County, Alabama,24098,24514,24296,23991,24319,23537,24415,26321,26898,28889,30347
0500000US01017,Chambers County, Alabama,22715,22909,24504,25570,26609,26396,26846,26921,27688,29572,30373
0500000US01019,Cherokee County, Alabama,26873,26721,27661,27110,26398,27133,29048,30455,30455,30663,33009
0500000US01021,Chilton County, Alabama,27134,27674,29206,30101,30401,28319,27846,28638,29223,30062,31539
0500000US01023,Choctaw County, Alabama,23074,24047,25765,25655,26556,26552,26169,25917,27128,29758,30032
0500000US01025,Clarke County, Alabama,27195,28018,26565,27557,27825,27417,29283,30445,31590,32863,32010
0500000US01027,Clay County, Alabama,27343,27112,25650,24940,24089,23687,23774,24482,25825,25584,26875
0500000US01029,Cleburne County, Alabama,22130,27004,26266,27474,27525,27895,26697,27798,28619,31633,34892
0500000US01031,Coffee County, Alabama,26565,27159,28578,27562,27978,27479,27494,28534,30656,31707,31940
0500000US01033,Colbert County, Alabama,26020,26500,27611,26303,26971,27698,27570,28284,30133,30977,31505
0500000US01035,Conecuh County, Alabama,23109,23318,22115,21372,22078,22283,25132,23701,25774,25806,27778
0500000US01037,Coosa County, Alabama,23676,25042,25200,24573,22667,22754,24243,24552,26292,26657,28258
0500000US01039,Covington County, Alabama,21681,21709,22605,23707,24472,24956,26588,28233,29719,30710,31005
