,state,county,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,AK,Anchorage Municipality,245603,347093,263103,371592,328279,279300,318783,274215,360335,371997,357995,384813.0216,383959.9844,383959.5618
1,AK,city-Wasilla,235000,235000,235000,235000,235000,235000,235000,235000,337066.6667,337066.6667,337066.6667,337066.6667,383466.6667,429866.6667
2,AK,Fairbanks North Star Borough,228750,228750,123000,164917,227370,250875,84750,211125,160261,209750,359900,315766.1055,315505.5953,315505.6256
3,AK,Matanuska-Susitna Borough,167825,222505,182803,159910,142610,275149,182349,278242,298748,341652,268529,313390.5216,311082.7793,311067.3633
4,AK,Municipality of Anchorage,237213,311167,490000,442750,475500,485000,536767,536767,520450,450275,433675,462276.8044,462276.8044,462276.8044
5,AK,Valdez-Cordova Census Area,91000,91000,91000,91000,91000,91000,91000,91000,120000,120000,120119.9051,120119.9051,120119.9068,120119.9068
6,AL,Baldwin County,176887,220783,206063,227468,217541,448150,185781,221102,263274,297004,322300,442093.8404,399428.8893,384680.8684
7,AL,Barbour County,232500,232500,232500,232500,232500,232500,91000,53500,142875,265312,168500,148233.969,148231.2657,148231.2657
8,AL,Bibb County,115840,94800,135467,162500,164650,127919,185567,224011,204029,155800,218526,182597.5725,182597.5725,182597.5725
9,AL,Blount County,109258,89989,147794,117697,127098,146460,127251,145000,160083,229765,222907,239155.3476,255731.9839,272693.5745
10,AL,Bullock County,95500,95500,95500,95500,95500,95500,95500,95500,95500,95500,95500,95500,95500,95500
11,AL,Calhoun County,122672,95549,126942,68401,115430,89714,125893,147381,165029,175279,141330,179757.5832,186671.0925,193584.6017
12,AL,Chambers County,25550,25550,25550,25550,25550,69950,208438,98636,186400,124250,175000,171132.6299,220372.5878,216499.2116
13,AL,Chilton County,143286,66400,73703,79846,94170,115750,143755,196919,243781,216840,230973,245903.5575,254406.9272,263758.5945
14,AL,Coffee County,181833,181833,181833,181833,181833,181833,181833,181833,181833,30000,127794,149342.9942,149342.9942,149342.9942
15,AL,Colbert County,224000,224000,224000,224000,224000,224000,224000,224000,224000,213000,185850,187417.9364,190495.2149,190495.2149
16,AL,Coosa County,319999,319999,319999,276333,532524,839000,173333,314390,177500,297300,180000,307799.5761,307811.0074,307811.0075
17,AL,Covington County,108500,108500,108500,108500,108500,108500,108500,108500,108500,108500,171000,108500,108500,108500
18,AL,Cullman County,196378,142330,245613,141500,125799,105451,242596,332928,265100,260953,411388,309165.5226,286177.3611,289034.2286
19,AL,Dale County,168768,168768,168768,168768,168768,168768,168768,168768,168768,80000,179500,180123.5154,204568.8057,204568.8057
20,AL,Dallas County,40000,40000,40000,40000,40000,40000,179792,31656,153000,153000,153000,153000,153000,153000
21,AL,DeKalb County,138103,80680,64888,112371,118880,143729,115611,146250,171762,219719,240019,235638.9802,243418.8913,251198.8023
22,AL,Elmore County,159500,159500,159500,159500,224350,221951,205003,215154,160648,292000,925000,425485.3616,425485.3616,425485.3616
23,AL,Etowah County,119525,65706,83095,96715,110470,143995,110078,173000,179844,184732,188511,195772.5304,204041.2003,212309.8702
24,AL,Fayette County,79000,79000,79000,79000,79000,155000,155000,155000,274900,547846.0848,547846.0848,547846.0848,695792.1697,843738.2545
25,AL,Geneva County,160000,160000,160000,160000,160000,160000,160000,160000,51018,115200,334000,307003.6919,307003.6919,307003.6919
26,AL,Hale County,143768,143768,143768,143768,143768,143768,143768,143768,162900,214950,205635,151101.4897,170289.9103,174094.9911
27,AL,Henry County,153825,153825,153825,153825,153825,153825,153825,153825,179000,148034,174500,154801.4712,153395.7084,153390.5906
